Rendah,PPD BATANG PADANG,ABA0122,SK BESOUT 5,FELDA GUNUNG BESOUT 5,35600,SUNGKAI,PERAK,194630861,TIADA
Rendah,PPD BATANG PADANG,ABA0123,SK POS BERSIH,ULU SLIM,35800,SLIM RIVER,PERAK,TIADA,TIADA
Rendah,PPD BATANG PADANG,ABA0124,SK POS TENAU,ULU SLIM,35800,SLIM RIVER,PERAK,TIADA,TIADA
Rendah,PPD BATANG PADANG,ABA0125,SK POS GEDONG,PETI SURAT 20,35500,BIDOR,PERAK,TIADA,TIADA
Rendah,PPD BATANG PADANG,ABA0126,SK KAMPUNG SENTA,PETI SURAT 20,35500,BIDOR,PERAK,TIADA,TIADA
Rendah,PPD BATANG PADANG,ABA0127,SK POS MUSUH LZ,PETI SURAT 51,35000,TAPAH,PERAK,TIADA,TIADA
Rendah,PPD BATANG PADANG,ABA0128,SK JERNANG,"P/SURAT 14, PEJABAT POS SUNGKAI",35600,SUNGKAI,PERAK,195459453,TIADA
Rendah,PPD BATANG PADANG,ABA0129,SK TAPAH,JALAN BIDOR LAMA,35000,TAPAH,PERAK,54016122,54016122
Rendah,PPD BATANG PADANG,ABA0130,SK BIDOR 2,JALAN TELUK INTAN,35500,BIDOR,PERAK,54341216,54340926
Rendah,PPD BATANG PADANG,ABA0131,SK PROTON CITY,BANDAR PROTON,35900,TANJONG MALIM,PERAK,54581128,54581129
Rendah,PPD BATANG PADANG,ABA0132,SEKOLAH KEBANGSAAN BANDAR BEHRANG 2020,JALAN WAWASAN MESRA,35900,TANJONG MALIM,PERAK,54583435,54583439
Rendah,PPD MANJUNG,ABA1001,SK DENDANG,KAMPUNG DENDANG,32700,BERUAS,PERAK,52560031,52560031
Rendah,PPD MANJUNG,ABA1002,SK BERUAS,JALAN PARIT,32700,BERUAS,PERAK,56740696,56749009
Rendah,PPD MANJUNG,ABA1003,SK KAMPUNG KOTA,JALAN SITIAWAN,32700,BERUAS,PERAK,56748048,56748048
Rendah,PPD MANJUNG,ABA1004,SK GELONG GAJAH,KAMPUNG  KEDAH,32700,BERUAS,PERAK,56721145,56721145
